Date,Fighter 1,Fighter 2,Winner,Method of Victory ,Weight Class,Venue,Title Fight,Main Event,Time Elapsed,F1 TDA,F1 TDL,F1 Control Time,F2 TDA,F2 TDL,F2 Control Time,F1 Total Strikes,F1 Sig Strikes,F1 Head Strike,F1 Body Strike,F1 Leg Strike,F2 Total Strikes,F2 Sig Strikes,F2 Head Strike,F2 Body Strike,F2 Leg Strike,F1 KD,F2 KD,Submission,KO/TKO,Finish,Decision,Stand Up,Late Sub,Late KO,Last Second Finish,F1 Control Proportion,F2 Control Proportion,F1 Sig Strike/Min,F2 Strike/Min,F2 Sig Strike/Min,F1 TDA/Min,F2 TDA/Min,F1 Strike/KD,F2 Strike/KD,F1 KD/Min,F2 KD/Min,F2 KD/Sec
2/25/1934,Joe Solecki ,Carl Deaton,F1,RNC,LW,Apex,0,0,595,3,2,531,0,0,0,67,2,1,0,1,29,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0.89,0,6.78,0.18,2.94,0.12,0.3,0,0,0,0,0
2/25/1934,Rafael Alves,Nurullo Aliev,F1,MD,LW,Apex,0,0,900,0,0,78,4,3,651,36,6,2,2,2,140,19,19,0,0,0,0,0,0,0,1,0,0,0,0,0.09,0.72,2.4,0.42,9.36,1.26,0,0.24,0,0,0,0
2/18/2023,Jordan Wright ,Zach Pauga ,F2,UD,LHW,Apex,0,0,900,1,0,13,6,0,520,261,29,15,13,1,114,59,31,21,7,0,0,0,0,0,1,1,0,0,0,0.01,0.58,17.4,1.92,7.62,3.96,0.06,0.42,0,0,0,0
2/18/2023,Josh Parisian,Jamal Pogues,F2,UD,HW,Apex,0,0,900,2,1,72,11,5,349,137,37,19,14,4,79,33,29,3,1,0,0,0,0,0,1,0,0,0,0,0.08,0.39,9.12,2.46,5.28,2.22,0.12,0.72,0,0,0,0
2/18/2023,William Knight,Marcin Prachnio,F2,UD,LHW,Apex,0,0,900,3,0,0,0,0,0,33,8,0,2,6,144,79,9,7,63,0,0,0,0,0,1,1,0,0,0,0,0,2.22,0.54,9.6,5.28,0.18,0,0,0,0,0
2/18/2023,Jim Miller,Alexander Hernandez,F2,UD,LW,Apex,0,0,900,1,0,40,1,0,23,186,67,32,16,19,238,108,62,39,7,0,0,0,0,0,1,1,0,0,0,0.04,0.03,12.42,4.44,15.84,7.2,0.06,0.06,0,0,0,0
2/18/2023,Nazim Sadykhov,Evan Elder,F1,TKO(dr),LW,Apex,0,0,638,1,1,19,6,1,93,141,64,38,19,7,158,70,25,36,9,0,1,0,1,1,0,0,0,0,0,0.03,0.15,13.26,6,14.88,6.6,0.12,0.54,0,0.36,0,0
2/18/2023,Jamall Emmers,Khusein Askhabov ,F1,UD,FW,Apex,0,0,900,3,1,285,6,0,58,170,62,27,18,17,127,30,15,7,8,0,0,0,0,0,1,0,0,0,0,0.32,0.06,11.34,4.14,8.46,1.98,0.18,0.42,0,0,0,0
2/18/2023,Ovince St. Preux,Philipe Lins,F2,KO/TKO,LHW,Apex,0,0,49,0,0,0,0,0,2,3,1,0,0,1,44,18,17,1,0,0,1,0,1,1,0,1,0,0,0,0,0.04,3.66,1.2,53.88,22.02,0,0,0,1.38,0,0.02
2/18/2023,AJ Fletcher,Themba Gorimbo,F1,Guillotine,WW,Apex,0,0,397,0,0,201,2,2,120,35,7,6,0,1,26,6,2,3,1,0,0,1,0,1,0,0,0,0,0,0.51,0.3,5.28,1.08,3.9,0.9,0,0.3,0,0,0,0
2/18/2023,Clayton Carpenter ,Juancamilo Ronderos ,F1,RNC,FLW,Apex,0,0,193,0,0,79,1,1,82,5,3,2,1,0,56,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0.41,0.43,1.56,0.96,17.4,0.3,0,0.3,0,0,0,0
2/12/2023,Islam Makhachev,Alexander Volkanovski,F1,UD,LW,"Perth, AUS",1,1,1500,9,4,457,4,0,175,135,57,36,18,3,255,70,37,21,12,0,1,0,0,0,1,0,0,0,0,0.31,0.12,5.4,2.28,10.2,2.82,0.36,0.18,0,0.24,0,0
2/12/2023,Yair Rodriguez,Josh Emmet,F1,Triangle Choke,FW,"Perth, AUS",1,0,559,0,0,0,4,1,181,143,62,36,18,8,72,22,17,4,1,0,0,1,0,1,0,0,0,0,0,0,0.32,15.36,6.66,7.74,2.34,0,0.42,0,0,0,0
2/12/2023,Jack Maddalena,Randy Brown,F1,RNC,WW,"Perth, AUS",0,0,133,0,0,15,0,0,0,35,14,9,1,4,39,11,6,2,3,1,0,1,0,1,0,1,0,0,0,0.11,0,15.78,6.3,17.58,4.98,0,0,1.74,0,0.48,0
2/12/2023,Justin Tafa,Parker Porter,F1,KO/TKO,HW,"Perth, AUS",0,0,66,0,0,0,0,0,0,16,8,6,2,0,16,7,5,0,2,1,0,0,1,1,0,1,0,0,0,0,0,14.52,7.26,14.52,6.36,0,0,3.78,0,0.9,0
2/12/2023,Jimmy Crute,Alonzo Menifield,DRAW,Draw,LHW,"Perth, AUS",0,0,900,12,6,475,0,0,235,103,31,27,2,2,127,56,53,1,2,0,2,0,0,0,0,0,0,0,0,0.53,0.26,6.84,2.04,8.46,3.72,0.78,0,0,0.96,0,0
2/12/2023,Tyson Pedro,Modestas Bukauskas,F2,UD,LHW,"Perth, AUS",0,0,900,3,2,181,0,0,57,90,45,18,20,7,121,44,25,12,7,0,0,0,0,0,1,0,0,0,0,0.2,0.06,6,3,8.04,2.94,0.18,0,0,0,0,0
