Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference
Mike Perry,WW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,9.133,4.067,0.267,0.133,0,-1.5968,-0.2468,0.0244,0.0465,-0.0226
Yorgan De Castro,HW,1,3.03,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,4.945,0.659,0,0,0,-5.1349,-3.4342,-0.1823,-0.0749,-0.0228
Jarjis Danho,HW,1,3.03,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,3.956,3.297,0.33,0,0.33,-6.1239,-0.7962,0.1477,-0.0749,0.3072
Hunter Azure,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,8.067,3,0.4,0,0,-2.846,-1.274,0.1092,-0.0984,-0.0264
Jordan Griffin,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,5.133,2.2,0.467,0.267,0,-5.9339,-2.1318,0.2033,0.167,-0.0191
Sasha Palatnikov,WW,1,5.43,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,7.914,2.393,0,0,0,-2.8158,-1.9208,-0.2426,-0.0865,-0.0226
Stipe Miocic,HW,1,5.87,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,2.216,2.045,0.17,0,0,-7.8639,-2.0482,-0.0123,-0.0749,-0.0228
Tyrone Woodley,WW,1,3.93,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,10.932,4.576,0.254,0,0,0.2022,0.2622,0.0114,-0.0865,-0.0226
Thomas Almeida,BW,1,13.87,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,5.12,1.803,0.144,0.072,0,-5.793,-2.471,-0.1468,-0.0264,-0.0264
Abu Azaitar,MW,1,14.93,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,17.478,7.232,0.201,0,0,7.3151,3.2293,-0.0786,-0.1067,-0.0155
Jesse Strader,BW,1,1.97,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,12.712,7.119,0,0,0,1.799,2.845,-0.2908,-0.0984,-0.0264
Gavin Tucker,FW,1,0.37,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,2.727,2.727,0,0,0,-8.3399,-1.6048,-0.2637,-0.1,-0.0191
Ray Rodriguez,BW,1,8.15,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,4.294,0.368,0,0,0,-6.619,-3.906,-0.2908,-0.0984,-0.0264
Joseph Benavidez,FLW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,8.667,3.067,0,0,0,-0.9418,-0.5386,-0.2843,-0.104,-0.0297
Jordan Espinosa,FLW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,2.333,0.867,0,0,0,-7.2758,-2.7386,-0.2843,-0.104,-0.0297
Aalon Cruz,LW,1,1.67,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,1.8,0,1.2,0,0,-8.6125,-4.0842,0.8958,-0.1115,-0.0222
