Name,Height,Reach,Stance
Colley Bradford,"5' 7""",--,
Kyle Bradley,"5' 9""","71.0""",Orthodox
Paul Bradley,"5' 9""",--,Orthodox
Sean Brady,"5' 10""","72.0""",Orthodox
Ebenezer Fontes Braga,"6' 0""",--,Orthodox
Ramiz Brahimaj,"5' 10""","72.0""",Orthodox
Joe Brammer,"5' 8""",--,Orthodox
David Branch,"6' 1""","78.0""",Orthodox
Diego Brandao,"5' 7""","64.0""",Orthodox
Bruna Brasil,"5' 6""","65.0""",Orthodox
Michael Bravo,--,--,
Martin Bravo,"5' 8""","71.0""",Southpaw
Mike Breeden,"5' 10""","70.0""",Orthodox
Tom Breese,"6' 3""","73.0""",Southpaw
Elves Brener,"5' 10""","72.0""",Orthodox
Chris Brennan,"5' 8""",--,Orthodox
Charlie Brenneman,"5' 10""","70.0""",Orthodox
Robert Breslin,"5' 11""",--,
Mack Brewer,--,--,
Marcos Brigagao,"6' 3""","76.0""",Southpaw
Jason Brilz,"5' 11""","71.0""",Orthodox
Marcus Brimage,"5' 4""","71.0""",Southpaw
Aaron Brink,"6' 3""",--,Orthodox
Henry Briones,"5' 8""","69.0""",Orthodox
Marcelo Brito,"6' 1""",--,Orthodox
Joanderson Brito,"5' 8""","72.0""",Orthodox
Antwain Britt,"6' 1""","77.0""",
Drew Brokenshire,--,--,
Mike Bronzoulis,"6' 0""",--,
Jonathan Brookins,"6' 0""","74.0""",Southpaw
Will Brooks,"5' 10""","72.0""",Orthodox
Jarred Brooks,"5' 3""","62.0""",Switch
Rob Broughton,"6' 2""","74.0""",Orthodox
Lee Brousseau,"6' 1""",--,
Matt Brown,"6' 0""","75.0""",Orthodox
Mike Brown,"5' 6""","70.0""",Orthodox
Dominic Brown,"5' 11""",--,
Todd Brown,"5' 11""",--,Orthodox
Terrell Brown,--,--,
Chris Brown,--,--,
Frederick Brown,"6' 0""",--,
Randy Brown,"6' 3""","78.0""",Orthodox
Damien Brown,"5' 10""","68.0""",Orthodox
TJ Brown,"5' 9""","72.0""",Switch
Humberto Brown Morrison,"5' 10""",--,
Travis Browne,"6' 6""","79.0""",Orthodox
Junie Browning,"5' 9""",--,Orthodox
Jules Bruchez,"6' 0""",--,Southpaw
