Name,Weight Class,Height,Reach,Stance,Total Fights,Wins,Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,Sig Strikes Absorbed per Minute,KD/Min,Knockdowns Suffered per Minute,Cntrl Proportion,Time Controlled,TDL/Min,Takedowns Suffered per Minute,TDA/Min,Takedowns Faced per Minute,TD Accuracy,Opp TD Accuracy,Head Strikes Per Minute,Body Strikes Per Minute,Leg Strikes Per Minute,Headstrikes Suffered per Minute,Bodystrikes Suffered per Minute,Legstrikes Suffered per Minute,,,,,,Decision Losses,Decision Wins,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins
Merab Dvalishvili,BW,"5' 6""","68.0""",Orthodox,4,4,0,19.312,5.340,2.950,0.000,0.016,0.226,623,0.310,0.031,0.994,0.388,0.3125,0.08,3.462,1.040,0.838,1.583,0.885,0.481,,,,,,,3,1,0,0,0
Alexander Volkov,HW,"6' 7""","80.0""",Orthodox,5,4,1,11.083,5.772,3.397,0.033,0.000,0.107,288,0.000,0.066,0.000,0.792,No TD Att,0.083333333,4.090,1.154,0.528,2.012,0.726,0.660,,,,,,,1,3,0,1,0
Alexander Romanov,HW,"6' 2""","75.0""",Southpaw,5,3,2,8.894,3.379,2.087,0.000,0.000,0.493,346,0.298,0.099,0.621,0.124,0.48,0.8,2.559,0.422,0.398,1.242,0.447,0.398,,,,,,1,1,1,1,0,1
Nikita Krylov,LHW,"6' 3""","77.0""",Orthodox,5,2,3,12.868,4.031,2.481,0.052,0.000,0.456,447,0.284,0.155,0.749,0.336,0.379310345,0.461538462,2.687,0.982,0.362,2.119,0.233,0.155,,,,,,2,0,1,0,1,1
Ryan Spann,LHW,"6' 5""","79.0""",Orthodox,5,2,3,7.236,3.252,2.927,0.163,0.163,0.111,328,0.081,0.407,0.325,0.407,0.25,1,2.764,0.569,0.000,1.707,0.732,0.488,,,,,,,0,1,1,2,1
Said Nurmagomedov,BW,"5' 8""","70.0""",Orthodox,4,3,1,8.355,2.600,1.969,0.000,0.000,0.130,1103,0.101,0.151,0.429,0.404,0.235294118,0.375,1.338,0.757,0.505,0.656,0.530,0.782,,,,,,1,1,0,0,0,2
Jonathan Martinez,BW,"5' 8""","70.0""",Southpaw,6,5,1,9.849,4.950,4.033,0.039,0.026,0.139,390,0.026,0.052,0.052,0.233,0.5,0.222222222,2.727,1.060,1.163,1.822,1.060,1.150,,,,,,,4,1,1,0,0
Mario Bautista,BW,"5' 9""","69.0""",Switch,5,4,1,10.562,4.645,2.736,0.000,0.032,0.428,207,0.318,0.095,0.414,0.286,0.769230769,0.333333333,2.513,1.177,0.954,1.082,0.700,0.954,,,,,,,1,0,1,0,3
Guido Cannetti,BW,"5' 6""","68.0""",Southpaw,4,2,2,8.053,4.841,4.422,0.000,0.000,0.042,223,0.093,0.233,0.093,0.326,1,0.714285714,1.862,0.978,2.002,2.095,1.629,0.698,,,,,,1,0,1,0,1,1
Vitor Petrino,LHW,"6' 2""","77.0""",Orthodox,1,1,0,6.933,2.600,2.200,0.000,0.000,0.414,280,0.467,0.333,0.600,1.000,0.777777778,0.333333333,1.800,0.667,0.133,1.267,0.467,0.467,,,,,,,1,0,0,0,0
Anton Turkalj,LHW,"6' 4""","78.0""",Orthodox,2,0,2,4.524,1.748,2.879,0.000,0.000,0.240,627,0.257,0.514,0.771,0.617,0.333333333,0.833333333,0.977,0.360,0.411,2.262,0.514,0.103,,,,,,1,0,0,0,1,0
Karl Williams,HW,"6' 3""","79.0""",Orthodox,1,1,0,11.200,2.533,1.733,0.067,0.000,0.681,29,0.533,0.000,0.867,0.067,0.615384615,0,2.067,0.267,0.200,1.267,0.333,0.133,,,,,,,1,0,0,0,0
Lukasz Brzeski,HW,"6' 4""","78.0""",Orthodox,2,0,2,10.967,4.800,3.467,0.000,0.033,0.016,619,0.000,0.267,0.033,0.433,0,0.615384615,2.267,1.867,0.667,2.700,0.233,0.533,,,,,,2,0,0,0,0,0
Raphael Assuncao ,BW,,,,3,1,2,6.035,2.950,3.735,0.000,0.054,0.237,297,0.189,0.054,0.460,0.135,0.411764706,0.4,1.543,0.460,0.947,1.732,1.191,0.812,,,,,,,1,0,1,1,0
Davey Grant,BW,"5' 8""","69.0""",Orthodox,5,3,2,14.453,5.898,5.457,0.047,0.016,0.056,632,0.016,0.110,0.079,0.267,0.2,0.411764706,2.469,2.170,1.258,3.240,1.164,1.054,,,,,,2,0,2,0,0,1
Sedriques Dumas,MW,"6' 2""","79.0""",Orthodox,1,0,1,5.875,2.500,4.125,0.000,0.000,0.015,267,0.000,0.250,0.125,0.250,0,1,1.000,0.250,1.250,2.625,0.750,0.750,,,,,,,0,0,0,1,0
